"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","Brazil",2020-01-22,0,0,0,0,22,1,476,419,0.880252100840336
"2","Brazil",2020-01-23,0,0,0,0,23,1,473,465,0.983086680761099
"3","Brazil",2020-01-24,0,0,0,0,24,1,495,460,0.929292929292929
"4","Brazil",2020-01-25,0,0,0,0,25,1,465,460,0.989247311827957
"5","Brazil",2020-01-26,0,0,0,0,26,1,537,463,0.86219739292365
"6","Brazil",2020-01-27,0,0,0,0,27,1,502,450,0.896414342629482
"7","Brazil",2020-01-28,0,0,0,0,28,1,470,436,0.927659574468085
"8","Brazil",2020-01-29,0,0,0,0,29,1,479,431,0.899791231732777
"9","Brazil",2020-01-30,0,0,0,0,30,1,468,478,1.02136752136752
"10","Brazil",2020-01-31,0,0,0,0,31,1,506,448,0.885375494071146
"11","Brazil",2020-02-01,0,0,0,0,1,2,480,461,0.960416666666667
"12","Brazil",2020-02-02,0,0,0,0,2,2,505,450,0.891089108910891
"13","Brazil",2020-02-03,0,0,0,0,3,2,500,433,0.866
"14","Brazil",2020-02-04,0,0,0,0,4,2,455,418,0.918681318681319
"15","Brazil",2020-02-05,0,0,0,0,5,2,453,415,0.916114790286976
"16","Brazil",2020-02-06,0,0,0,0,6,2,478,456,0.95397489539749
"17","Brazil",2020-02-07,0,0,0,0,7,2,492,451,0.916666666666667
"18","Brazil",2020-02-08,0,0,0,0,8,2,477,448,0.939203354297694
"19","Brazil",2020-02-09,0,0,0,0,9,2,489,442,0.903885480572597
"20","Brazil",2020-02-10,0,0,0,0,10,2,471,419,0.889596602972399
"21","Brazil",2020-02-11,0,0,0,0,11,2,416,433,1.04086538461538
"22","Brazil",2020-02-12,0,0,0,0,12,2,454,417,0.918502202643172
"23","Brazil",2020-02-13,0,0,0,0,13,2,466,453,0.972103004291845
"24","Brazil",2020-02-14,0,0,0,0,14,2,465,461,0.991397849462366
"25","Brazil",2020-02-15,0,0,0,0,15,2,468,464,0.991452991452991
"26","Brazil",2020-02-16,0,0,0,0,16,2,503,463,0.920477137176938
"27","Brazil",2020-02-17,0,0,0,0,17,2,468,437,0.933760683760684
"28","Brazil",2020-02-18,0,0,0,0,18,2,441,419,0.950113378684807
"29","Brazil",2020-02-19,0,0,0,0,19,2,450,440,0.977777777777778
"30","Brazil",2020-02-20,0,0,0,0,20,2,438,476,1.08675799086758
"31","Brazil",2020-02-21,0,0,0,0,21,2,479,474,0.989561586638831
"32","Brazil",2020-02-22,0,0,0,0,22,2,459,459,1
"33","Brazil",2020-02-23,0,0,0,0,23,2,487,430,0.882956878850103
"34","Brazil",2020-02-24,0,0,0,0,24,2,445,416,0.934831460674157
"35","Brazil",2020-02-25,0,0,0,0,25,2,430,410,0.953488372093023
"36","Brazil",2020-02-26,1,0,0,1,26,2,444,428,0.963963963963964
"37","Brazil",2020-02-27,1,0,0,1,27,2,473,439,0.928118393234672
"38","Brazil",2020-02-28,1,0,0,1,28,2,483,432,0.894409937888199
"39","Brazil",2020-02-29,2,0,0,2,NA,NA,NA,NA,NA
"40","Brazil",2020-03-01,2,0,0,2,1,3,473,465,0.983086680761099
"41","Brazil",2020-03-02,2,0,0,2,2,3,620,462,0.745161290322581
"42","Brazil",2020-03-03,2,0,0,2,3,3,449,411,0.915367483296214
"43","Brazil",2020-03-04,4,0,0,4,4,3,404,384,0.95049504950495
"44","Brazil",2020-03-05,4,0,0,4,5,3,419,440,1.05011933174224
"45","Brazil",2020-03-06,13,0,0,13,6,3,456,423,0.927631578947368
"46","Brazil",2020-03-07,13,0,0,13,7,3,462,431,0.932900432900433
"47","Brazil",2020-03-08,20,0,0,20,8,3,461,445,0.96529284164859
"48","Brazil",2020-03-09,25,0,0,25,9,3,540,419,0.775925925925926
"49","Brazil",2020-03-10,31,0,0,31,10,3,495,402,0.812121212121212
"50","Brazil",2020-03-11,38,0,0,38,11,3,433,393,0.907621247113164
"51","Brazil",2020-03-12,52,0,0,52,12,3,421,443,1.05225653206651
"52","Brazil",2020-03-13,151,0,0,151,13,3,440,406,0.922727272727273
"53","Brazil",2020-03-14,151,0,0,151,14,3,442,417,0.943438914027149
"54","Brazil",2020-03-15,162,0,0,162,15,3,450,437,0.971111111111111
"55","Brazil",2020-03-16,200,1,0,199,16,3,461,399,0.865509761388286
"56","Brazil",2020-03-17,321,2,1,318,17,3,441,369,0.836734693877551
"57","Brazil",2020-03-18,372,2,3,367,18,3,410,330,0.804878048780488
"58","Brazil",2020-03-19,621,2,6,613,19,3,398,328,0.824120603015075
"59","Brazil",2020-03-20,793,2,11,780,20,3,409,313,0.765281173594132
"60","Brazil",2020-03-21,1021,2,15,1004,21,3,435,286,0.657471264367816
"61","Brazil",2020-03-22,1546,2,25,1519,22,3,437,232,0.530892448512586
"62","Brazil",2020-03-23,1924,2,34,1888,23,3,453,181,0.399558498896247
"63","Brazil",2020-03-24,2247,2,46,2199,24,3,427,130,0.304449648711944
"64","Brazil",2020-03-25,2554,2,59,2493,25,3,398,104,0.261306532663317
